MODULE,PROCEDURE,UNUSED VARIABLE/PROC
cDirectSCI,Global (Sub/Function),AutoCShow
cDirectSCI,Global (Sub/Function),AutoCStops
cDirectSCI,Global (Sub/Function),BackTab
cDirectSCI,Global (Sub/Function),BeginUndoAction
cDirectSCI,Global (Sub/Function),BraceBadLight
cDirectSCI,Global (Sub/Function),BraceHighlight
cDirectSCI,Global (Sub/Function),CallTipCancel
cDirectSCI,Global (Sub/Function),CallTipSetBack
cDirectSCI,Global (Sub/Function),CallTipSetFore
cDirectSCI,Global (Sub/Function),CallTipSetForeHlt
cDirectSCI,Global (Sub/Function),CallTipSetHlt
cDirectSCI,Global (Sub/Function),CallTipShow
cDirectSCI,Global (Sub/Function),CanPaste
cDirectSCI,Global (Sub/Function),CanRedo
cDirectSCI,Global (Sub/Function),CanUndo
cDirectSCI,Global (Sub/Function),CharLeft
cDirectSCI,Global (Sub/Function),CharLeftExtend
cDirectSCI,Global (Sub/Function),CharLeftRectExtend
cDirectSCI,Global (Sub/Function),CharRight
cDirectSCI,Global (Sub/Function),CharRightExtend
cDirectSCI,Global (Sub/Function),CharRightRectExtend
cDirectSCI,Global (Sub/Function),ChooseCaretX
cDirectSCI,Global (Sub/Function),ClearAll
cDirectSCI,Global (Sub/Function),ClearAllCmdKeys
cDirectSCI,Global (Sub/Function),ClearDocumentStyle
cDirectSCI,Global (Sub/Function),ClearRegisteredImages
cDirectSCI,Global (Sub/Function),ConvertEOLs
cDirectSCI,Global (Sub/Function),CopyRange
cDirectSCI,Global (Sub/Function),CopyText
cDirectSCI,Global (Sub/Function),CreateDocument
cDirectSCI,Global (Sub/Function),DeleteBack
cDirectSCI,Global (Sub/Function),DeleteBackNotLine
cDirectSCI,Global (Sub/Function),DelLineLeft
cDirectSCI,Global (Sub/Function),DelLineRight
cDirectSCI,Global (Sub/Function),DelWordLeft
cDirectSCI,Global (Sub/Function),DelWordRight
cDirectSCI,Global (Sub/Function),DocLineFromVisible
cDirectSCI,Global (Sub/Function),DocumentEnd
cDirectSCI,Global (Sub/Function),DocumentEndExtend
cDirectSCI,Global (Sub/Function),DocumentStart
cDirectSCI,Global (Sub/Function),DocumentStartExtend
cDirectSCI,Global (Sub/Function),EditToggleOvertype
cDirectSCI,Global (Sub/Function),EmptyUndoBuffer
cDirectSCI,Global (Sub/Function),EncodedFromUTF8
cDirectSCI,Global (Sub/Function),EndUndoAction
cDirectSCI,Global (Sub/Function),EnsureVisible
cDirectSCI,Global (Sub/Function),EnsureVisibleEnforcePolicy
cDirectSCI,Global (Sub/Function),FindColumn
cDirectSCI,Global (Sub/Function),FormFeed
cDirectSCI,Global (Sub/Function),GetBackSpaceUnIndents
cDirectSCI,Global (Sub/Function),GetBufferedDraw
cDirectSCI,Global (Sub/Function),GetCaretLineVisible
cDirectSCI,Global (Sub/Function),GetCaretPeriod
cDirectSCI,Global (Sub/Function),GetCaretSticky
cDirectSCI,Global (Sub/Function),GetCaretWidth
cDirectSCI,Global (Sub/Function),GetCodePage
cDirectSCI,Global (Sub/Function),GetControlCharSymbol
cDirectSCI,Global (Sub/Function),GetCurLine
cDirectSCI,Global (Sub/Function),GetCursor
cDirectSCI,Global (Sub/Function),GetDirectFunction
cDirectSCI,Global (Sub/Function),GetDirectPointer
cDirectSCI,Global (Sub/Function),GetDocPointer
cDirectSCI,Global (Sub/Function),GetEdgeColumn
cDirectSCI,Global (Sub/Function),GetEdgeMode
cDirectSCI,Global (Sub/Function),GetEndAtLastLine
cDirectSCI,Global (Sub/Function),GetFirstVisibleLine
cDirectSCI,Global (Sub/Function),GetFoldExpanded
cDirectSCI,Global (Sub/Function),GetFoldLevel
cDirectSCI,Global (Sub/Function),GetFoldParent
cDirectSCI,Global (Sub/Function),GetHighlightGuide
cDirectSCI,Global (Sub/Function),GetHScrollBar
cDirectSCI,Global (Sub/Function),GetIndent
cDirectSCI,Global (Sub/Function),GetIndentationGuides
cDirectSCI,Global (Sub/Function),GetLastChild
cDirectSCI,Global (Sub/Function),GetLayoutCache
cDirectSCI,Global (Sub/Function),GetLexer
cDirectSCI,Global (Sub/Function),GetLine
cDirectSCI,Global (Sub/Function),GetLineState
cDirectSCI,Global (Sub/Function),GetLineVisible
cDirectSCI,Global (Sub/Function),GetMarginLeft
cDirectSCI,Global (Sub/Function),GetMarginMaskN
cDirectSCI,Global (Sub/Function),GetMarginRight
cDirectSCI,Global (Sub/Function),GetMarginSensitiveN
cDirectSCI,Global (Sub/Function),GetMarginTypeN
cDirectSCI,Global (Sub/Function),GetMarginWidthN
cDirectSCI,Global (Sub/Function),GetMaxLineState
cDirectSCI,Global (Sub/Function),GetModEventMask
cDirectSCI,Global (Sub/Function),GetMouseDownCaptures
cDirectSCI,Global (Sub/Function),GetMouseDwellTime
cDirectSCI,Global (Sub/Function),GetOvertype
cDirectSCI,Global (Sub/Function),GetPasteConvertEndings
cDirectSCI,Global (Sub/Function),GetPrintColourMode
cDirectSCI,Global (Sub/Function),GetPrintMagnification
cDirectSCI,Global (Sub/Function),GetPrintWrapMode
cDirectSCI,Global (Sub/Function),GetProperty
cDirectSCI,Global (Sub/Function),GetPropertyExpanded
cDirectSCI,Global (Sub/Function),GetPropertyInt
cDirectSCI,Global (Sub/Function),GetReadOnly
cDirectSCI,Global (Sub/Function),GetScrollWidth
cDirectSCI,Global (Sub/Function),GetSearchFlags
cDirectSCI,Global (Sub/Function),GetSelectionMode
cDirectSCI,Global (Sub/Function),GetStatus
cDirectSCI,Global (Sub/Function),GetStyleBits
cDirectSCI,Global (Sub/Function),GetStyleBitsNeeded
cDirectSCI,Global (Sub/Function),GetStyledText
cDirectSCI,Global (Sub/Function),GetTabIndents
cDirectSCI,Global (Sub/Function),GetTabWidth
cDirectSCI,Global (Sub/Function),GetTextRange
cDirectSCI,Global (Sub/Function),GetTwoPhaseDraw
cDirectSCI,Global (Sub/Function),GetUndoCollection
cDirectSCI,Global (Sub/Function),GetUsePalette
cDirectSCI,Global (Sub/Function),GetUseTabs
cDirectSCI,Global (Sub/Function),GetViewEOL
cDirectSCI,Global (Sub/Function),GetViewWS
cDirectSCI,Global (Sub/Function),GetVScrollBar
cDirectSCI,Global (Sub/Function),GetWrapMode
cDirectSCI,Global (Sub/Function),GetWrapStartIndent
cDirectSCI,Global (Sub/Function),GetWrapVisualFlags
cDirectSCI,Global (Sub/Function),GetWrapVisualFlagsLocation
cDirectSCI,Global (Sub/Function),GetXOffset
cDirectSCI,Global (Sub/Function),GetZoom
cDirectSCI,Global (Sub/Function),GrabFocus
cDirectSCI,Global (Sub/Function),HideLines
cDirectSCI,Global (Sub/Function),Home
cDirectSCI,Global (Sub/Function),HomeDisplay
cDirectSCI,Global (Sub/Function),HomeDisplayExtend
cDirectSCI,Global (Sub/Function),HomeExtend
cDirectSCI,Global (Sub/Function),HomeRectExtend
cDirectSCI,Global (Sub/Function),HomeWrap
cDirectSCI,Global (Sub/Function),HomeWrapExtend
cDirectSCI,Global (Sub/Function),IndicGetStyle
cDirectSCI,Global (Sub/Function),IndicSetFore
cDirectSCI,Global (Sub/Function),IndicStyleSet
cDirectSCI,Global (Sub/Function),InsertText
cDirectSCI,Global (Sub/Function),LineCopy
